$N_{ch}$,$N_{ch}$ LOW,$N_{ch}$ HIGH,$P(N_{ch})$,error +,error -
0.0,-0.5,0.5,0.06309677,0.03679051,-0.03679051
1.0,0.5,1.5,0.03458646,0.00284007,-0.00284007
2.0,1.5,2.5,0.03170812,0.00169401,-0.00169401
3.0,2.5,3.5,0.03415754,0.00157874,-0.00157874
4.0,3.5,4.5,0.03797183,0.0022762,-0.0022762
5.0,4.5,5.5,0.04165617,0.00328976,-0.00328976
6.0,5.5,6.5,0.04422473,0.00338698,-0.00338698
7.0,6.5,7.5,0.04346761,0.00258826,-0.00258826
8.0,7.5,8.5,0.04065053,0.00258708,-0.00258708
9.0,8.5,9.5,0.03759504,0.00285975,-0.00285975
10.0,9.5,10.5,0.03431873,0.00249688,-0.00249688
11.0,10.5,11.5,0.03132102,0.00200263,-0.00200263
12.0,11.5,12.5,0.0290584,0.00173861,-0.00173861
13.0,12.5,13.5,0.02702072,0.00171791,-0.00171791
14.0,13.5,14.5,0.02524423,0.00165182,-0.00165182
15.0,14.5,15.5,0.02375043,0.00154008,-0.00154008
16.0,15.5,16.5,0.02238676,0.00140552,-0.00140552
17.0,16.5,17.5,0.02120956,0.00127529,-0.00127529
18.0,17.5,18.5,0.02019535,0.00129751,-0.00129751
19.0,18.5,19.5,0.01920482,0.00122502,-0.00122502
20.0,19.5,20.5,0.01826147,0.00114061,-0.00114061
21.0,20.5,21.5,0.01730626,0.00102165,-0.00102165
22.0,21.5,22.5,0.01634716,0.00091248,-0.00091248
23.0,22.5,23.5,0.01543184,0.00081253,-0.00081253
24.0,23.5,24.5,0.01455324,0.00074508,-0.00074508
25.0,24.5,25.5,0.01381139,0.00072823,-0.00072823
26.0,25.5,26.5,0.01309551,0.00071379,-0.00071379
27.0,26.5,27.5,0.0124244,0.00067911,-0.00067911
28.0,27.5,28.5,0.011804,0.00063301,-0.00063301
29.0,28.5,29.5,0.01124819,0.00060134,-0.00060134
30.0,29.5,30.5,0.01073417,0.00057606,-0.00057606
31.0,30.5,31.5,0.01024065,0.00054884,-0.00054884
32.0,31.5,32.5,0.00976149,0.00052311,-0.00052311
33.0,32.5,33.5,0.00929333,0.00050101,-0.00050101
34.0,33.5,34.5,0.00883538,0.00048317,-0.00048317
35.0,34.5,35.5,0.0083896,0.00046996,-0.00046996
36.0,35.5,36.5,0.0079707,0.00047267,-0.00047267
37.0,36.5,37.5,0.00756372,0.00047251,-0.00047251
38.0,37.5,38.5,0.00717002,0.00046759,-0.00046759
39.0,38.5,39.5,0.00679118,0.00045738,-0.00045738
40.0,39.5,40.5,0.0064285,0.00044241,-0.00044241
41.0,40.5,41.5,0.00608272,0.00042394,-0.00042394
42.0,41.5,42.5,0.00575398,0.00040354,-0.00040354
43.0,42.5,43.5,0.00544181,0.00038278,-0.00038278
44.0,43.5,44.5,0.00514534,0.00036299,-0.00036299
45.0,44.5,45.5,0.00486349,0.00034509,-0.00034509
46.0,45.5,46.5,0.00459515,0.00032954,-0.00032954
47.0,46.5,47.5,0.00433935,0.00031634,-0.00031634
48.0,47.5,48.5,0.00409528,0.00030517,-0.00030517
49.0,48.5,49.5,0.00386233,0.00029548,-0.00029548
50.0,49.5,50.5,0.00364006,0.00028667,-0.00028667
51.0,50.5,51.5,0.00342813,0.00027818,-0.00027818
52.0,51.5,52.5,0.00322625,0.00026959,-0.00026959
53.0,52.5,53.5,0.00303416,0.00026067,-0.00026067
54.0,53.5,54.5,0.00285158,0.00025133,-0.00025133
55.0,54.5,55.5,0.00267823,0.00024162,-0.00024162
56.0,55.5,56.5,0.0025138,0.00023166,-0.00023166
57.0,56.5,57.5,0.00235798,0.00022161,-0.00022161
58.0,57.5,58.5,0.00221047,0.00021159,-0.00021159
59.0,58.5,59.5,0.00207087,0.00020179,-0.00020179
60.0,59.5,60.5,0.00193891,0.00019222,-0.00019222
61.0,60.5,61.5,0.00181431,0.0001829,-0.0001829
62.0,61.5,62.5,0.00169672,0.00017385,-0.00017385
63.0,62.5,63.5,0.00158584,0.00016507,-0.00016507
64.0,63.5,64.5,0.00148133,0.00015658,-0.00015658
65.0,64.5,65.5,0.0013829,0.00014839,-0.00014839
66.0,65.5,66.5,0.00129031,0.00014059,-0.00014059
67.0,66.5,67.5,0.00120321,0.00013313,-0.00013313
68.0,67.5,68.5,0.00112131,0.00012601,-0.00012601
69.0,68.5,69.5,0.00104438,0.00011925,-0.00011925
70.0,69.5,70.5,0.00097218,0.00011285,-0.00011285
71.0,70.5,71.5,0.00090448,0.00010678,-0.00010678
72.0,71.5,72.5,0.00084105,0.00010103,-0.00010103
73.0,72.5,73.5,0.00078169,9.557e-05,-9.557e-05
74.0,73.5,74.5,0.00072616,9.038e-05,-9.038e-05
75.0,74.5,75.5,0.00067427,8.543e-05,-8.543e-05
76.0,75.5,76.5,0.00062579,8.069e-05,-8.069e-05
77.0,76.5,77.5,0.00058051,7.616e-05,-7.616e-05
78.0,77.5,78.5,0.00053825,7.182e-05,-7.182e-05
79.0,78.5,79.5,0.00049881,6.767e-05,-6.767e-05
80.0,79.5,80.5,0.00046201,6.37e-05,-6.37e-05
81.0,80.5,81.5,0.00042769,5.99e-05,-5.99e-05
82.0,81.5,82.5,0.00039567,5.628e-05,-5.628e-05
83.0,82.5,83.5,0.00036583,5.283e-05,-5.283e-05
84.0,83.5,84.5,0.00033803,4.955e-05,-4.955e-05
85.0,84.5,85.5,0.00031213,4.644e-05,-4.644e-05
86.0,85.5,86.5,0.00028802,4.35e-05,-4.35e-05
87.0,86.5,87.5,0.00026559,4.071e-05,-4.071e-05
88.0,87.5,88.5,0.00024474,3.808e-05,-3.808e-05
89.0,88.5,89.5,0.00022537,3.559e-05,-3.559e-05
90.0,89.5,90.5,0.00020739,3.324e-05,-3.324e-05
91.0,90.5,91.5,0.00019071,3.103e-05,-3.103e-05
92.0,91.5,92.5,0.00017525,2.894e-05,-2.894e-05
93.0,92.5,93.5,0.00016093,2.697e-05,-2.697e-05
94.0,93.5,94.5,0.00014768,2.511e-05,-2.511e-05
95.0,94.5,95.5,0.00013543,2.336e-05,-2.336e-05
96.0,95.5,96.5,0.00012412,2.171e-05,-2.171e-05
97.0,96.5,97.5,0.00011369,2.016e-05,-2.016e-05
98.0,97.5,98.5,0.00010407,1.87e-05,-1.87e-05
99.0,98.5,99.5,9.522e-05,1.733e-05,-1.733e-05
100.0,99.5,100.5,8.709e-05,1.604e-05,-1.604e-05
101.0,100.5,101.5,7.962e-05,1.483e-05,-1.483e-05
102.0,101.5,102.5,7.276e-05,1.37e-05,-1.37e-05
103.0,102.5,103.5,6.648e-05,1.265e-05,-1.265e-05
104.0,103.5,104.5,6.073e-05,1.166e-05,-1.166e-05
105.0,104.5,105.5,5.547e-05,1.075e-05,-1.075e-05
106.0,105.5,106.5,5.066e-05,9.9e-06,-9.9e-06
107.0,106.5,107.5,4.627e-05,9.12e-06,-9.12e-06
108.0,107.5,108.5,4.227e-05,8.39e-06,-8.39e-06
109.0,108.5,109.5,3.862e-05,7.71e-06,-7.71e-06
110.0,109.5,110.5,3.529e-05,7.09e-06,-7.09e-06
111.0,110.5,111.5,3.225e-05,6.51e-06,-6.51e-06
112.0,111.5,112.5,2.949e-05,5.98e-06,-5.98e-06
113.0,112.5,113.5,2.697e-05,5.49e-06,-5.49e-06
114.0,113.5,114.5,2.468e-05,5.04e-06,-5.04e-06
115.0,114.5,115.5,2.259e-05,4.63e-06,-4.63e-06
116.0,115.5,116.5,2.069e-05,4.25e-06,-4.25e-06
117.0,116.5,117.5,1.896e-05,3.9e-06,-3.9e-06
118.0,117.5,118.5,1.738e-05,3.58e-06,-3.58e-06
119.0,118.5,119.5,1.594e-05,3.29e-06,-3.29e-06
120.0,119.5,120.5,1.463e-05,3.02e-06,-3.02e-06
121.0,120.5,121.5,1.343e-05,2.77e-06,-2.77e-06
122.0,121.5,122.5,1.234e-05,2.54e-06,-2.54e-06
123.0,122.5,123.5,1.134e-05,2.33e-06,-2.33e-06
124.0,123.5,124.5,1.043e-05,2.14e-06,-2.14e-06
125.0,124.5,125.5,9.6e-06,1.97e-06,-1.97e-06
126.0,125.5,126.5,8.85e-06,1.81e-06,-1.81e-06
127.0,126.5,127.5,8.15e-06,1.66e-06,-1.66e-06
128.0,127.5,128.5,7.52e-06,1.53e-06,-1.53e-06
129.0,128.5,129.5,6.94e-06,1.41e-06,-1.41e-06
130.0,129.5,130.5,6.41e-06,1.29e-06,-1.29e-06
131.0,130.5,131.5,5.92e-06,1.19e-06,-1.19e-06
132.0,131.5,132.5,5.48e-06,1.1e-06,-1.1e-06
133.0,132.5,133.5,5.07e-06,1.02e-06,-1.02e-06
134.0,133.5,134.5,4.69e-06,9.4e-07,-9.4e-07
135.0,134.5,135.5,4.34e-06,8.8e-07,-8.8e-07
136.0,135.5,136.5,4.02e-06,8.2e-07,-8.2e-07
137.0,136.5,137.5,3.72e-06,7.7e-07,-7.7e-07
138.0,137.5,138.5,3.44e-06,7.2e-07,-7.2e-07
139.0,138.5,139.5,3.19e-06,6.8e-07,-6.8e-07
140.0,139.5,140.5,2.94e-06,6.5e-07,-6.5e-07
141.0,140.5,141.5,2.71e-06,6.3e-07,-6.3e-07
142.0,141.5,142.5,2.49e-06,6.1e-07,-6.1e-07
143.0,142.5,143.5,2.29e-06,6e-07,-6e-07
144.0,143.5,144.5,2.09e-06,6e-07,-6e-07
145.0,144.5,145.5,1.9e-06,6e-07,-6e-07
146.0,145.5,146.5,1.73e-06,6.2e-07,-6.2e-07
147.0,146.5,147.5,1.58e-06,6.5e-07,-6.5e-07
148.0,147.5,148.5,1.42e-06,7e-07,-7e-07
149.0,148.5,149.5,1.27e-06,7.6e-07,-7.6e-07
150.0,149.5,150.5,1.13e-06,8.2e-07,-8.2e-07
151.0,150.5,151.5,1e-06,9e-07,-9e-07

